"puzzle_number","hex","start_key","stop_key"
"21","14oFNXucftsHiUMY8uctg6N487riuyXs4h","100000","1fffff"
"66","13zb1hQbWVsc2S7ZTZnP2G4undNNpdh5so","20000000000000000","3ffffffffffffffff"
"67","1BY8GQbnueYofwSuFAT3USAhGjPrkxDdW9","40000000000000000","7ffffffffffffffff"
"68","1MVDYgVaSN6iKKEsbzRUAYFrYJadLYZvvZ","80000000000000000","fffffffffffffffff"
"69","19vkiEajfhuZ8bs8Zu2jgmC6oqZbWqhxhG","100000000000000000","1fffffffffffffffff"
"71","1PWo3JeB9jrGwfHDNpdGK54CRas7fsVzXU","400000000000000000","7fffffffffffffffff"
"72","1JTK7s9YVYywfm5XUH7RNhHJH1LshCaRFR","800000000000000000","ffffffffffffffffff"
"73","12VVRNPi4SJqUTsp6FmqDqY5sGosDtysn4","1000000000000000000","1ffffffffffffffffff"
"130","1Fo65aKq8s8iquMt6weF1rku1moWVEd5Ua","200000000000000000000000000000000","3ffffffffffffffffffffffffffffffff"
"160","1NBC8uXJy1GiJ6drkiZa1WuKn51ps7EPTv","8000000000000000000000000000000000000000","ffffffffffffffffffffffffffffffffffffffff"
